Observer ,Year,Month,Sunday,Site,Family,Genus,Species,Fork length
Jessica Tran,2021,April,4,Papeete market,Holocentridae,Myripristis,berndti,7.34505
Jessica Tran,2021,April,4,Papeete market,Holocentridae,Myripristis,berndti,8.044744
Jessica Tran,2021,April,4,Papeete market,Siganidae,Siganus,spinus,8.191515
Jessica Tran,2021,April,4,Papeete market,Holocentridae,Myripristis,berndti,9.667735
Jessica Tran,2021,April,4,Papeete market,Holocentridae,Myripristis,violacea,9.766824
Jessica Tran,2021,April,4,Papeete market,Holocentridae,Myripristis,berndti,9.776084
Jessica Tran,2021,April,4,Papeete market,Holocentridae,Myripristis,berndti,10.02539
Jessica Tran,2021,April,4,Papeete market,Labridae,Epibulus,insidiator,10.14578
Jessica Tran,2021,April,4,Papeete market,Holocentridae,Myripristis,violacea,10.17284
Jessica Tran,2021,April,4,Papeete market,Holocentridae,Myripristis,violacea,10.18646
Jessica Tran,2021,April,4,Papeete market,Holocentridae,Myripristis,berndti,10.2319
Jessica Tran,2021,April,4,Papeete market,Holocentridae,Myripristis,berndti,10.25486
Jessica Tran,2021,April,4,Papeete market,Labridae,Epibulus,insidiator,10.27191
Jessica Tran,2021,April,4,Papeete market,Siganidae,Siganus,spinus,10.31119
Jessica Tran,2021,April,4,Papeete market,Siganidae,Siganus,spinus,10.34523
Jessica Tran,2021,April,4,Papeete market,Scaridae,Scarus,psittacus,10.52837
Jessica Tran,2021,April,4,Papeete market,Siganidae,Siganus,spinus,10.65589
Jessica Tran,2021,April,1,Papeete market,Holocentridae,Myripristis,berndti,10.66029
Jessica Tran,2021,April,4,Papeete market,Siganidae,Siganus,spinus,10.66261
Jessica Tran,2021,April,4,Papeete market,Holocentridae,Myripristis,berndti,10.81334
Jessica Tran,2021,April,4,Papeete market,Siganidae,Siganus,spinus,10.8821
Jessica Tran,2021,April,4,Papeete market,Acanthuridae,Naso,lituratus,10.97775
Jessica Tran,2021,April,4,Papeete market,Scaridae,Scarus,psittacus,11.0661
Jessica Tran,2021,April,4,Papeete market,Siganidae,Siganus,spinus,11.07996
Jessica Tran,2021,April,4,Papeete market,Serranidae,Epinephelus,merra,11.31531
Jessica Tran,2021,April,1,Papeete market,Acanthuridae,Naso,lituratus,11.38167
Jessica Tran,2021,April,4,Papeete market,Holocentridae,Myripristis,berndti,11.46628
Jessica Tran,2021,April,4,Papeete market,Holocentridae,Myripristis,berndti,11.65218
Jessica Tran,2021,April,1,Papeete market,Holocentridae,Myripristis,autre,11.67044
Jessica Tran,2021,April,4,Papeete market,Siganidae,Siganus,spinus,11.71675
Jessica Tran,2021,April,4,Papeete market,Serranidae,Epinephelus,merra,11.77754
Jessica Tran,2021,April,4,Papeete market,Siganidae,Siganus,spinus,11.80644
Jessica Tran,2021,April,1,Papeete market,Holocentridae,Myripristis,berndti,11.8402
Jessica Tran,2021,April,4,Papeete market,Labridae,Epibulus,insidiator,11.84372
Jessica Tran,2021,April,4,Papeete market,Siganidae,Siganus,spinus,11.89136
Jessica Tran,2021,April,3,Papeete market,Holocentridae,Myripristis,berndti,11.93739
Jessica Tran,2021,April,4,Papeete market,Serranidae,Epinephelus,merra,12.07376
Jessica Tran,2021,April,4,Papeete market,Holocentridae,Myripristis,violacea,12.08386
Jessica Tran,2021,April,4,Papeete market,Labridae,Epibulus,insidiator,12.21216
Jessica Tran,2021,April,4,Papeete market,Holocentridae,Myripristis,berndti,12.2309
Jessica Tran,2021,April,1,Papeete market,Holocentridae,Myripristis,autre,12.24197
Jessica Tran,2021,April,4,Papeete market,Holocentridae,Myripristis,berndti,12.29555
Jessica Tran,2021,April,4,Papeete market,Scaridae,Scarus,psittacus,12.31785
Jessica Tran,2021,April,4,Papeete market,Scaridae,Scarus,psittacus,12.32262
Jessica Tran,2021,April,1,Papeete market,Holocentridae,Myripristis,berndti,12.34759
Jessica Tran,2021,April,2,Papeete market,Holocentridae,Myripristis,autre,12.39629
Jessica Tran,2021,April,1,Papeete market,Holocentridae,Myripristis,berndti,12.46127
Jessica Tran,2021,April,4,Papeete market,Serranidae,Cephalopholis,argus,12.54241
Jessica Tran,2021,April,3,Papeete market,Holocentridae,Myripristis,berndti,12.5841
Jessica Tran,2021,April,4,Papeete market,Serranidae,Cephalopholis,argus,12.60037
Jessica Tran,2021,April,4,Papeete market,Scaridae,Scarus,psittacus,12.72141
Jessica Tran,2021,April,4,Papeete market,Holocentridae,Myripristis,berndti,12.78874
Jessica Tran,2021,April,4,Papeete market,Scaridae,Scarus,psittacus,12.82084
Jessica Tran,2021,April,1,Papeete market,Carangidae,Caranx,papuensis,12.877
Jessica Tran,2021,April,2,Papeete market,Scaridae,Scarus,autre,12.88564
Jessica Tran,2021,April,4,Papeete market,Scaridae,Scarus,psittacus,12.91306
Jessica Tran,2021,April,4,Papeete market,Labridae,Epibulus,insidiator,13.0093
Jessica Tran,2021,April,4,Papeete market,Holocentridae,Myripristis,berndti,13.07819
Jessica Tran,2021,April,4,Papeete market,Holocentridae,Myripristis,violacea,13.11893
Jessica Tran,2021,April,1,Papeete market,Holocentridae,Myripristis,berndti,13.14571
Jessica Tran,2021,April,4,Papeete market,Siganidae,Siganus,spinus,13.14653
Jessica Tran,2021,April,4,Papeete market,Holocentridae,Myripristis,berndti,13.22034
Jessica Tran,2021,April,3,Papeete market,Holocentridae,Myripristis,autre,13.23063
Jessica Tran,2021,April,4,Papeete market,Holocentridae,Myripristis,berndti,13.29991
Jessica Tran,2021,April,1,Papeete market,Holocentridae,Myripristis,autre,13.33058
Jessica Tran,2021,April,1,Papeete market,Holocentridae,Myripristis,berndti,13.35038
Jessica Tran,2021,April,1,Papeete market,Holocentridae,Myripristis,autre,13.41667
Jessica Tran,2021,April,3,Papeete market,Siganidae,Siganus,spinus,13.42001
Jessica Tran,2021,April,2,Papeete market,Holocentridae,Myripristis,autre,13.4444
Jessica Tran,2021,April,4,Papeete market,Scaridae,Scarus,oviceps,13.46591
Jessica Tran,2021,April,1,Papeete market,Holocentridae,Myripristis,autre,13.48871
Jessica Tran,2021,April,2,Papeete market,Holocentridae,Myripristis,autre,13.49723
Jessica Tran,2021,April,1,Papeete market,Holocentridae,Myripristis,berndti,13.50475
Jessica Tran,2021,April,1,Papeete market,Holocentridae,Myripristis,autre,13.52555
Jessica Tran,2021,April,4,Papeete market,Scaridae,Scarus,psittacus,13.54067
Jessica Tran,2021,April,4,Papeete market,Holocentridae,Myripristis,violacea,13.59168
Jessica Tran,2021,April,1,Papeete market,Siganidae,Siganus,spinus,13.60791
Jessica Tran,2021,April,4,Papeete market,Scaridae,Scarus,psittacus,13.62354
Jessica Tran,2021,April,4,Papeete market,Scaridae,Scarus,psittacus,13.63859
Jessica Tran,2021,April,4,Papeete market,Holocentridae,Myripristis,berndti,13.71619
Jessica Tran,2021,April,4,Papeete market,Serranidae,Epinephelus,merra,13.71933
Jessica Tran,2021,April,2,Papeete market,Holocentridae,Myripristis,autre,13.73817
Jessica Tran,2021,April,4,Papeete market,Labridae,Epibulus,insidiator,13.78675
Jessica Tran,2021,April,1,Papeete market,Holocentridae,Myripristis,autre,13.7994
Jessica Tran,2021,April,1,Papeete market,Holocentridae,Myripristis,violacea,13.80687
Jessica Tran,2021,April,2,Papeete market,Holocentridae,Myripristis,berndti,13.82112
Jessica Tran,2021,April,1,Papeete market,Holocentridae,Myripristis,berndti,13.84165
