Observer ,Year,Month,Sunday,Site,Family,Genus,Species,Fork length,Coeff a,Coeff b,Weight (g)
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,unicornis,51.42054,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,unicornis,55.47536,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,unicornis,51.56314,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,unicornis,53.16918,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,unicornis,52.08308,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,unicornis,52.45668,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,unicornis,54.7149,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,unicornis,52.41302,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,unicornis,52.77765,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,unicornis,52.22846,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,unicornis,56.56032,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,unicornis,54.64893,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,unicornis,53.50578,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,unicornis,41.85748,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,unicornis,30.10041,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,unicornis,32.62347,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,unicornis,47.38487,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,unicornis,39.41173,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,unicornis,34.94242,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,unicornis,20.3838,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,unicornis,20.5311,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,unicornis,21.40841,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,unicornis,22.09572,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,unicornis,22.71758,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,unicornis,22.79417,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,unicornis,23.46964,,   ,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,unicornis,26.77981,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,unicornis,26.15532,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,unicornis,22.58112,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,unicornis,24.71493,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,unicornis,49.59457,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,unicornis,47.97131,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,unicornis,50.08759,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,unicornis,38.49932,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,unicornis,44.31762,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,unicornis,43.20897,,,
